行番号,エラー内容
2,"既存顧客（同一店舗・同一電話番号）のためスキップ"
3,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
3,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
4,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
4,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
7,"既存顧客（同一店舗・同一電話番号）のためスキップ"
8,"既存顧客（同一店舗・同一電話番号）のためスキップ"
9,"既存顧客（同一店舗・同一電話番号）のためスキップ"
10,"既存顧客（同一店舗・同一電話番号）のためスキップ"
11,"既存顧客（同一店舗・同一電話番号）のためスキップ"
12,"既存顧客（同一店舗・同一電話番号）のためスキップ"
13,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
13,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
14,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
14,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
15,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
15,"エラー: SQLSTATE[23000]: Integrity constraint violation: 19 UNIQUE constraint failed: customers.store_id, customers.customer_number (Connection: sqlite, SQL: insert into "customers" ("customer_number", "store_id", "last_name", "first_name", "last_name_kana", "first_name_kana", "phone", "email", "gender", "birth_date", "postal_code", "prefecture", "city", "address", "building", "notes", "characteristics", "updated_at", "created_at") values (13, 4, かな, , , , ?, ?, ?, ?, ?, ?, ?, , ?, 【予約ステータス】来店済
【最終来店日】2025/7/13
【最終予約メニュー】通常５０分コース, ?, 2025-10-15 09:31:48, 2025-10-15 09:31:48))"
16,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
16,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
17,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
17,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
18,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
18,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
19,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
19,"エラー: SQLSTATE[23000]: Integrity constraint violation: 19 UNIQUE constraint failed: customers.store_id, customers.customer_number (Connection: sqlite, SQL: insert into "customers" ("customer_number", "store_id", "last_name", "first_name", "last_name_kana", "first_name_kana", "phone", "email", "gender", "birth_date", "postal_code", "prefecture", "city", "address", "building", "notes", "characteristics", "updated_at", "created_at") values (13, 4, 渋下, 寛人, シブシタ, ヒロト, ?, ?, ?, ?, ?, ?, ?, , ?, 【予約ステータス】来店済
【最終来店日】2025/7/13
【最終予約メニュー】通常５０分コース, ?, 2025-10-15 09:31:48, 2025-10-15 09:31:48))"
20,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
20,"エラー: SQLSTATE[23000]: Integrity constraint violation: 19 UNIQUE constraint failed: customers.store_id, customers.customer_number (Connection: sqlite, SQL: insert into "customers" ("customer_number", "store_id", "last_name", "first_name", "last_name_kana", "first_name_kana", "phone", "email", "gender", "birth_date", "postal_code", "prefecture", "city", "address", "building", "notes", "characteristics", "updated_at", "created_at") values (14, 4, あつこ, , , , ?, ?, ?, ?, ?, ?, ?, , ?, 【予約ステータス】来店済
【最終来店日】2025/6/30
【最終予約メニュー】初回５０分コース, ?, 2025-10-15 09:31:48, 2025-10-15 09:31:48))"
21,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
21,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
22,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
22,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
23,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
23,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
24,"既存顧客（同一店舗・同一電話番号）のためスキップ"
25,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
25,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
26,"既存顧客（同一店舗・同一電話番号）のためスキップ"
27,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
27,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
28,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
28,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
29,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
29,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
30,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
30,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
31,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
31,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
32,"既存顧客（同一店舗・同一電話番号）のためスキップ"
33,"既存顧客（同一店舗・同一電話番号）のためスキップ"
34,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
34,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
35,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
35,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
36,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
36,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
37,"既存顧客（同一店舗・同一電話番号）のためスキップ"
38,"既存顧客（同一店舗・同一電話番号）のためスキップ"
39,"警告: 電話番号の形式が不正です（'）。電話番号なしで登録します。"
39,"既存顧客（同一店舗・同姓同名・電話番号なし）のためスキップ"
